color,percentage,frame
black,0.0,1
blue,0.9629629629629629,1
brown,0.02130979938271605,1
green,0.0,1
orange,0.0,1
purple,0.0,1
red,0.0,1
white,0.0,1
yellow,0.0,1
black,0.0,2
blue,0.9629629629629629,2
brown,0.024557291666666668,2
green,0.0,2
orange,0.0,2
purple,0.0,2
red,0.0,2
white,0.0,2
yellow,0.0,2
black,0.0,3
blue,0.9629629629629629,3
brown,0.026597704475308643,3
green,0.0,3
orange,0.0,3
purple,0.0,3
red,0.0,3
white,0.0,3
yellow,0.0,3
black,0.0,4
blue,0.9629629629629629,4
brown,0.02593846450617284,4
green,0.0,4
orange,0.0,4
purple,0.0,4
red,0.0,4
white,0.0,4
yellow,0.0,4
black,0.0,5
blue,0.9629629629629629,5
brown,0.024598283179012345,5
green,0.0,5
orange,0.0,5
purple,0.0,5
red,0.0,5
white,0.0,5
yellow,0.0,5
black,0.0,6
blue,0.9629629629629629,6
brown,0.02482831790123457,6
green,0.0,6
orange,0.0,6
purple,0.0,6
red,0.0,6
white,0.0,6
yellow,0.0,6
black,0.0,7
blue,0.9629629629629629,7
brown,0.025701195987654323,7
green,0.0,7
orange,0.0,7
purple,0.0,7
red,0.0,7
white,0.0,7
yellow,0.0,7
black,0.0,8
blue,0.9629629629629629,8
brown,0.02693383487654321,8
green,0.0,8
orange,0.0,8
purple,0.0,8
red,0.0,8
white,0.0,8
yellow,0.0,8
black,0.0,9
blue,0.9629629629629629,9
brown,0.028058931327160495,9
green,0.0,9
orange,0.0,9
purple,0.0,9
red,0.0,9
white,0.0,9
yellow,0.0,9
black,0.0,10
blue,0.9629629629629629,10
brown,0.02961323302469136,10
green,0.0,10
orange,0.0,10
purple,0.0,10
red,0.0,10
white,0.0,10
yellow,0.0,10
black,0.0,11
blue,0.9629629629629629,11
brown,0.029913676697530863,11
green,0.0,11
orange,0.0,11
purple,0.0,11
red,0.0,11
white,0.0,11
yellow,0.0,11
black,0.0,12
blue,0.9629629629629629,12
brown,0.03136332947530864,12
green,0.0,12
orange,0.0,12
purple,0.0,12
red,0.0,12
white,0.0,12
yellow,0.0,12
black,0.0,13
blue,0.9629629629629629,13
brown,0.03236062885802469,13
green,0.0,13
orange,0.0,13
purple,0.0,13
red,0.0,13
white,0.0,13
yellow,0.0,13
black,0.0,14
blue,0.9629629629629629,14
brown,0.03386381172839506,14
green,0.0,14
orange,0.0,14
purple,0.0,14
red,0.0,14
white,0.0,14
yellow,0.0,14
black,0.0,15
blue,0.9629629629629629,15
brown,0.0351123649691358,15
green,0.0,15
orange,0.0,15
purple,0.0,15
red,0.0,15
white,0.0,15
yellow,0.0,15
black,0.0,16
blue,0.9629629629629629,16
brown,0.03737027391975309,16
green,0.0,16
orange,0.0,16
purple,0.0,16
red,0.0,16
white,0.0,16
yellow,0.0,16
black,0.0,17
blue,0.9629629629629629,17
brown,0.03820505401234568,17
green,0.0,17
orange,0.0,17
purple,0.0,17
red,0.0,17
white,0.0,17
yellow,0.0,17
black,0.0,18
blue,0.9629629629629629,18
brown,0.040186149691358024,18
green,0.0,18
orange,0.0,18
purple,0.0,18
red,0.0,18
white,0.0,18
yellow,0.0,18
black,0.0,19
blue,0.9629629629629629,19
brown,0.04153549382716049,19
green,0.0,19
orange,0.0,19
purple,0.0,19
red,0.0,19
white,0.0,19
yellow,0.0,19
black,0.0,20
blue,0.9629629629629629,20
brown,0.04425684799382716,20
green,0.0,20
orange,0.0,20
purple,0.0,20
red,0.0,20
white,0.0,20
yellow,0.0,20
black,7.71604938271605e-06,21
blue,0.9629629629629629,21
brown,0.044453125,21
green,0.0,21
orange,0.0,21
purple,0.0,21
