frame_index,total_objects
1,38
2,33
3,33
4,35
5,36
6,33
7,43
8,43
9,39
10,35
11,41
12,35
13,34
14,41
15,34
16,37
17,35
18,37
19,41
20,32
21,37
22,41
23,38
24,38
25,40
26,37
27,35
28,33
29,46
30,46
31,45
32,41
33,53
34,50
35,52
36,49
37,50
38,48
39,55
40,46
41,52
42,43
43,55
44,42
45,53
46,43
47,42
48,41
49,45
50,41
51,37
52,42
53,45
54,45
55,45
56,42
57,43
58,48
59,49
60,41
61,35
62,51
63,43
64,49
65,48
66,54
67,45
68,45
69,47
70,42
71,48
72,44
73,40
74,44
75,48
76,42
77,45
78,50
79,46
80,58
81,45
82,49
83,42
84,46
85,46
86,52
87,46
88,44
89,46
90,49
91,47
92,45
93,46
94,55
95,51
96,50
97,39
98,55
99,60
100,57
101,55
102,65
103,52
104,50
105,47
106,52
107,60
108,55
109,58
110,47
111,60
112,55
113,54
114,61
115,67
116,65
117,75
118,49
119,57
120,61
121,45
122,54
123,58
124,56
125,58
126,62
127,59
128,56
129,56
130,57
131,55
132,60
133,60
134,52
135,69
136,64
137,49
138,62
139,52
140,54
141,59
142,50
143,72
144,64
145,69
146,71
147,54
148,69
149,63
150,67
151,51
152,64
153,70
154,65
155,70
156,66
157,66
158,62
159,66
160,71
161,58
162,63
163,65
164,73
165,76
166,76
167,62
168,66
169,61
170,71
171,61
172,70
173,69
174,65
175,65
176,65
177,58
178,79
179,76
180,77
181,61
182,70
183,68
184,56
185,66
186,60
187,71
188,61
189,72
190,66
191,62
192,65
193,69
194,59
195,73
196,72
197,67
198,58
199,65
200,68
201,61
202,66
203,63
204,68
205,63
206,59
207,68
208,62
209,61
210,72
211,61
212,63
213,67
214,67
215,66
216,66
217,68
218,67
219,81
220,77
221,63
222,67
223,56
224,73
225,71
226,74
227,64
228,69
229,66
230,64
231,68
232,59
233,64
234,65
235,72
236,69
237,70
238,58
239,72
240,80
241,79
242,68
243,70
244,82
245,71
246,67
247,87
248,58
249,61
250,86
251,69
252,69
253,70
254,64
255,69
256,66
257,81
258,75
259,82
260,67
261,64
262,66
263,85
264,84
265,78
266,76
267,61
268,67
269,64
270,63
271,66
272,67
273,70
274,70
275,66
276,69
277,62
278,64
279,75
280,80
281,67
282,71
283,75
284,74
285,70
286,67
287,74
288,73
289,59
290,65
291,72
292,77
293,77
294,76
295,63
296,67
297,53
298,69
299,68
300,91
301,63
302,63
303,76
304,82
305,78
306,69
307,80
308,79
309,77
310,69
311,77
312,74
313,61
314,80
315,83
316,74
317,76
318,75
319,69
320,70
321,75
322,82
323,78
324,72
325,80
326,66
327,73
328,73
329,77
330,78
331,74
332,77
333,77
334,74
335,74
336,69
337,84
338,83
339,94
340,75
341,66
342,84
343,78
344,77
345,75
346,79
347,70
348,72
349,79
350,82
351,79
352,74
353,64
354,69
355,78
356,72
357,86
358,85
359,81
360,62
361,74
362,77
363,68
364,82
365,65
366,67
367,68
368,69
369,72
370,67
371,65
372,67
373,68
374,68
375,57
376,71
377,68
378,57
379,56
380,57
381,62
382,62
383,65
384,57
385,62
386,66
387,53
388,55
389,57
390,52
391,56
392,57
393,54
394,60
395,56
396,57
397,62
398,59
399,53
400,57
401,63
402,50
403,59
404,43
405,56
406,57
407,54
408,52
409,52
410,46
411,59
412,45
413,50
414,57
415,55
416,52
417,46
418,43
419,49
420,53
421,47
422,44
423,40
424,47
425,43
426,65
427,62
428,51
429,50
430,41
431,46
432,47
433,51
434,60
435,43
436,41
437,53
438,43
439,49
440,57
441,56
442,52
443,50
444,49
445,62
446,44
447,61
448,54
449,50
450,46
451,61
452,56
453,49
454,59
455,50
456,60
457,53
458,61
459,43
460,54
461,50
462,63
463,47
464,72
465,56
466,64
467,52
468,59
469,48
470,50
471,50
472,59
473,55
474,58
475,54
476,54
477,53
478,60
479,63
480,64
481,60
482,68
483,71
484,63
485,58
486,60
487,61
488,60
