frame_index,stabilize_dx,stabilize_dy,stabilize_da
0,0.3590622,-34.297493,0.096730426
1,-26.91593,-28.533436,0.0863581
2,3.1965168,7.0309753,0.06211885
3,-3.7138457,18.977152,0.034544975
4,-1.5339813,38.38079,0.0017870413
5,66.38408,25.947283,-0.011168893
6,71.16032,32.758415,-0.026527906
7,68.3679,29.426125,-0.028976947
8,59.68547,19.879631,-0.029661058
9,49.42493,15.323318,-0.033441707
10,42.74353,15.796408,-0.039169557
11,34.121246,14.769588,-0.04579491
12,25.580936,11.537901,-0.047175273
13,11.540649,4.888776,-0.048639677
14,-5.23689,-1.550993,-0.05063711
15,6.6216316,2.4901946,-0.055516932
16,-3.8764362,0.009322047,-0.059225008
17,-15.382328,-4.174584,-0.05838553
18,-33.709442,-12.135759,-0.058576435
19,-29.671925,-16.705992,-0.05587133
20,-38.57464,-25.946646,-0.049645573
21,-33.338047,-27.475906,-0.044838183
22,-42.817764,-36.843426,-0.039139673
23,-26.555447,-37.35186,-0.03560792
24,-34.2672,-49.08492,-0.025779437
25,-15.168591,-47.413063,-0.023881862
26,-23.348562,-58.65587,-0.018878305
27,-31.340746,-69.53569,-0.013191817
28,-34.944847,-77.48287,-0.0070577925
29,-45.08834,-87.608574,-0.0011589718
30,-58.925537,-100.243484,0.0055049984
31,-55.416855,-103.56388,0.0058351024
32,-64.61913,-111.166504,0.006234983
33,-70.265465,-118.71324,0.006219862
34,-87.176476,-128.88393,0.008699716
35,-99.04808,-130.89478,0.0049819755
36,-108.57416,-134.15309,0.00412708
37,-122.60005,-138.43535,0.004499913
38,-135.68266,-143.21504,0.003343963
39,-145.55142,-148.0053,0.00044541573
40,-154.43117,-151.0177,-0.0033702012
41,-160.27312,-149.38266,-0.009386714
42,-161.41252,-137.38333,-0.022163993
43,-152.75694,-124.68194,-0.033450183
44,-144.18408,-113.87857,-0.04039738
45,-142.472,-104.95506,-0.048235282
46,-135.0574,-92.10818,-0.056908756
47,-107.24983,-72.958046,-0.06217351
48,-90.82843,-61.348022,-0.06266283
