frame_index,stabilize_dx,stabilize_dy,stabilize_da,outlier_factor
0,0.3590622,-34.297493,0.096730426,1
1,-26.91593,-28.533436,0.0863581,1
2,3.1965168,7.0309753,0.06211885,1
3,-3.7138457,18.977152,0.034544975,1
4,-1.5339813,38.38079,0.0017870413,1
5,66.38408,25.947283,-0.011168893,1
6,71.16032,32.758415,-0.026527906,1
7,68.3679,29.426125,-0.028976947,1
8,59.68547,19.879631,-0.029661058,1
9,49.42493,15.323318,-0.033441707,1
10,42.74353,15.796408,-0.039169557,1
11,34.121246,14.769588,-0.04579491,1
12,25.580936,11.537901,-0.047175273,1
13,11.540649,4.888776,-0.048639677,1
14,-5.23689,-1.550993,-0.05063711,1
15,6.6216316,2.4901946,-0.055516932,1
16,-3.8764362,0.009322047,-0.059225008,1
17,-15.382328,-4.174584,-0.05838553,1
18,-33.709442,-12.135759,-0.058576435,1
19,-29.671925,-16.705992,-0.05587133,1
20,-38.57464,-25.946646,-0.049645573,1
21,-33.338047,-27.475906,-0.044838183,1
22,-42.817764,-36.843426,-0.039139673,1
23,-26.555447,-37.35186,-0.03560792,1
24,-34.2672,-49.08492,-0.025779437,1
25,-15.168591,-47.413063,-0.023881862,1
26,-23.348562,-58.65587,-0.018878305,1
27,-31.340746,-69.53569,-0.013191817,1
28,-34.944847,-77.48287,-0.0070577925,1
29,-45.08834,-87.608574,-0.0011589718,1
30,-58.925537,-100.243484,0.0055049984,1
31,-55.416855,-103.56388,0.0058351024,1
32,-64.61913,-111.166504,0.006234983,1
33,-70.265465,-118.71324,0.006219862,1
34,-87.176476,-128.88393,0.008699716,1
35,-99.04808,-130.89478,0.0049819755,1
36,-108.57416,-134.15309,0.00412708,1
37,-122.60005,-138.43535,0.004499913,1
38,0.0,0.0,0.0,-1
39,0.0,0.0,0.0,-1
40,0.0,0.0,0.0,-1
41,0.0,0.0,0.0,-1
42,0.0,0.0,0.0,-1
43,0.0,0.0,0.0,-1
44,-144.18408,-113.87857,-0.04039738,1
45,-142.472,-104.95506,-0.048235282,1
46,-135.0574,-92.10818,-0.056908756,1
47,-107.24983,-72.958046,-0.06217351,1
48,-90.82843,-61.348022,-0.06266283,1
49,-80.615776,-57.205612,-0.061283976,1
50,-69.919136,-55.055573,-0.061559193,1
51,-61.4993,-52.388794,-0.061995815,1
52,-51.08484,-46.26129,-0.06399153,1
53,-43.526115,-41.067616,-0.06396901,1
54,-31.355305,-32.638298,-0.062186267,1
55,-19.372871,-33.046913,-0.05884106,1
56,-18.12318,-35.717857,-0.05629238,1
57,-13.928724,-36.722763,-0.055234704,1
58,-13.410079,-40.509235,-0.05094388,1
59,-18.406487,-52.386696,-0.037876174,1
60,-38.151978,-72.78397,-0.019264584,1
61,-59.828705,-90.35058,-0.0069394624,1
62,-77.012146,-93.50351,-0.007726253,1
63,-88.98234,-89.62349,-0.012520252,1
64,-102.52956,-82.97986,-0.016091252,1
65,-114.291176,-77.20369,-0.018281095,1
66,-129.386,-70.856865,-0.020307925,1
67,0.0,0.0,0.0,-1
68,0.0,0.0,0.0,-1
69,0.0,0.0,0.0,-1
70,0.0,0.0,0.0,-1
71,0.0,0.0,0.0,-1
72,0.0,0.0,0.0,-1
73,0.0,0.0,0.0,-1
74,0.0,0.0,0.0,-1
75,0.0,0.0,0.0,-1
76,0.0,0.0,0.0,-1
77,0.0,0.0,0.0,-1
78,0.0,0.0,0.0,-1
79,0.0,0.0,0.0,-1
80,0.0,0.0,0.0,-1
81,-110.10065,-5.830328,-0.017464388,1
82,-96.42236,-8.13068,-0.011352893,1
83,-82.14757,-7.9256926,-0.0075620282,1
84,-67.06914,-6.1819077,-0.002407303,1
85,-29.683353,-4.3092747,0.002302189,1
86,-9.87426,-2.8149662,0.006094032,1
87,36.80127,-1.8935347,0.009041272,1
88,56.976818,2.1439104,0.011329469,1
89,76.090485,6.153179,0.014628679,1
90,91.31312,10.024815,0.017454354,1
91,106.93985,16.103174,0.01800739,1
92,130.19505,13.446599,0.018212877,1
93,138.7064,17.416468,0.017011654,1
94,141.86536,23.327644,0.015869832,1
95,132.22821,17.327377,0.0140923,1
96,133.28862,25.06261,0.011024946,1
97,132.53667,33.260216,0.0074611893,1
98,128.63327,42.665184,0.0016171802,1
99,126.16681,55.76288,-0.0054475665,1
100,122.57679,68.38643,-0.010476646,1
101,0.0,0.0,0.0,-1
102,0.0,0.0,0.0,-1
103,0.0,0.0,0.0,-1
104,0.0,0.0,0.0,-1
105,0.0,0.0,0.0,-1
106,0.0,0.0,0.0,-1
107,0.0,0.0,0.0,-1
108,0.0,0.0,0.0,-1
109,0.0,0.0,0.0,-1
110,0.0,0.0,0.0,-1
111,0.0,0.0,0.0,-1
112,0.0,0.0,0.0,-1
113,0.0,0.0,0.0,-1
114,0.0,0.0,0.0,-1
115,0.0,0.0,0.0,-1
116,0.0,0.0,0.0,-1
117,0.0,0.0,0.0,-1
118,40.650887,157.96695,-0.048269108,1
119,39.933186,145.71014,-0.039522804,1
120,29.902567,132.27263,-0.030512664,1
121,17.409224,116.99019,-0.020152532,1
122,7.3079453,109.519714,-0.012698103,1
123,9.026251,103.62359,-0.0061947377,1
124,4.380101,89.17713,-0.0020251707,1
125,0.18971777,77.14576,0.0007271236,1
126,-3.0099764,64.96725,0.004906291,1
127,-2.3024797,53.102016,0.007377335,1
128,-0.9833517,45.996437,0.005665626,1
129,5.3083296,44.644108,0.0002640949,1
130,12.043621,41.31759,-0.005466812,1
131,15.083273,42.50639,-0.009299174,1
132,18.283707,38.574257,-0.011321726,1
133,18.49057,36.099617,-0.010833783,1
134,18.329395,27.727846,-0.00828493,1
135,17.505417,24.980558,-0.008659052,1
136,16.945152,22.461735,-0.009503785,1
137,21.364962,18.955906,-0.010590527,1
138,20.99689,9.74603,-0.0060037,1
139,15.669444,-3.534504,0.0034820512,1
140,9.488527,-14.775117,0.011803531,1
141,5.8399625,-24.61485,0.019097287,1
142,1.0426267,-36.18131,0.027135089,1
143,-4.4988384,-46.14711,0.0339899,1
144,-0.03489375,-54.193665,0.038174544,1
145,-3.563449,-60.22304,0.04012183,1
146,1.7672133,-61.373386,0.0379908,1
147,3.7576065,-64.62922,0.03831308,1
148,6.694061,-69.65174,0.038690228,1
149,8.598105,-72.22401,0.037797607,1
150,9.300873,-73.64136,0.035920396,1
151,10.662935,-73.54312,0.03201249,1
152,11.781712,-71.456856,0.027843557,1
153,13.099779,-70.381,0.023773067,1
154,10.083221,-68.37185,0.020036211,1
155,6.936203,-65.2146,0.015642414,1
156,3.2233536,-62.82708,0.011434148,1
157,-1.9451804,-59.489784,0.0069426293,1
158,-2.348313,-55.448437,0.0019862484,1
159,-5.347416,-48.7447,-0.0038470244,1
160,-10.428745,-43.351036,-0.0075860154,1
161,-14.407964,-39.89262,-0.010159243,1
162,-20.09888,-39.15394,-0.011293571,1
163,-25.850737,-36.12842,-0.012008471,1
164,-30.412642,-32.78178,-0.013109686,1
165,-34.17446,-29.794748,-0.013201926,1
166,-35.202427,-28.910627,-0.012829435,1
167,-37.103085,-27.20631,-0.011893932,1
168,-38.689487,-24.496601,-0.010905069,1
169,-38.848576,-22.79919,-0.009905957,1
170,-38.11014,-21.918102,-0.00792069,1
171,-38.588486,-21.001972,-0.0051201163,1
172,-32.293327,-16.918552,-0.0030477261,1
173,-31.554634,-15.515757,-0.0009235125,1
174,-28.754986,-13.992627,0.00034684804,1
175,-27.002415,-12.724867,0.0016922564,1
176,-24.126957,-12.062991,0.0036153328,1
177,-23.563963,-10.350721,0.006675836,1
178,-22.391815,-11.18276,0.010524351,1
179,-20.992294,-11.273852,0.013764398,1
180,-19.968819,-13.058491,0.016942542,1
181,-19.6657,-12.369745,0.020264572,1
182,-18.264923,-13.587281,0.02331653,1
183,-15.450628,-17.69624,0.02700165,1
184,-13.397453,-20.909605,0.02907167,1
185,-11.710762,-21.598392,0.030165462,1
186,-11.392969,-20.051346,0.031256847,1
187,-10.227332,-20.80491,0.030462027,1
188,-7.864663,-22.49484,0.03158457,1
189,-6.7088323,-22.556278,0.03122469,1
190,-6.8921533,-22.89932,0.03011924,1
191,-7.346008,-25.07925,0.02958972,1
192,-7.5387,-26.16261,0.030113995,1
193,-5.458716,-29.248102,0.03215363,1
194,-5.1075387,-32.602867,0.033825543,1
195,-4.7885075,-32.611156,0.03348709,1
196,-6.033159,-33.972996,0.03280049,1
197,-6.741876,-34.216892,0.031559594,1
198,-7.251046,-34.56351,0.030188056,1
199,-6.6186237,-34.8938,0.029224277,1
200,-6.5863786,-34.264668,0.027482787,1
201,-6.4523606,-34.446632,0.026839217,1
202,-5.781879,-34.36096,0.026173947,1
203,-4.547146,-34.784035,0.026324404,1
204,-3.8383803,-35.42105,0.026736967,1
205,-3.1548557,-35.868843,0.027278148,1
206,-2.5162034,-36.127678,0.027544972,1
207,-2.226966,-36.684547,0.027728261,1
208,-1.4169717,-37.11842,0.027919935,1
209,-0.9436765,-37.86274,0.028167974,1
210,-0.9833765,-38.192093,0.027841303,1
211,-0.6973529,-38.183743,0.027313313,1
212,-0.3230791,-38.726017,0.027031628,1
213,-0.0702796,-38.92455,0.02653649,1
214,-0.12687063,-39.106598,0.026181355,1
215,-0.20123635,-39.139835,0.025695588,1
216,-7.3295197,-44.788708,0.02604937,1
217,-7.4573803,-45.15005,0.025722602,1
218,-7.653901,-45.500893,0.025227671,1
219,-8.147314,-45.729004,0.024809686,1
220,-8.700628,-45.89905,0.024063617,1
221,-8.323631,-47.263103,0.024613753,1
222,-8.0048065,-48.270237,0.02456804,1
223,-8.754055,-49.904404,0.025378278,1
224,-9.757597,-50.411236,0.02544071,1
225,-10.103483,-50.981018,0.025270382,1
226,-10.224346,-51.973457,0.025354737,1
227,-10.150879,-52.78161,0.025797684,1
228,-10.431305,-53.38243,0.026334222,1
229,-10.498027,-53.979347,0.026785322,1
230,-10.606037,-54.09213,0.026849195,1
231,-10.955135,-53.483948,0.026280843,1
232,-10.860584,-52.48655,0.025523674,1
233,-10.5761795,-51.808907,0.025334978,1
234,-10.730228,-50.64812,0.02535765,1
235,-12.205198,-48.563488,0.02496326,1
236,-12.904144,-46.444798,0.023837544,1
237,-13.652348,-44.268734,0.023081182,1
238,-14.190588,-41.447594,0.022187099,1
239,-15.128796,-38.435722,0.021358855,1
240,-16.101154,-34.83309,0.020576527,1
241,-17.306099,-31.019613,0.01984265,1
242,-18.026041,-27.450779,0.018971777,1
243,-18.699389,-23.749481,0.018371675,1
244,-19.278309,-20.481028,0.01817248,1
245,-19.527208,-16.492027,0.017780218,1
246,-19.778515,-12.978861,0.01788618,1
247,-18.776096,-10.268757,0.01862938,1
248,-18.850716,-8.575107,0.020536358,1
249,-18.63282,-6.405028,0.021974145,1
250,-19.296188,-5.1914883,0.024709988,1
251,-16.656103,-2.2131257,0.027031695,1
252,-15.456323,-1.5553889,0.03017962,1
253,-14.968116,-0.6580658,0.03268599,1
254,-13.653063,2.1911306,0.03408944,1
255,-13.361776,5.1225176,0.033718504,1
256,-13.225454,8.377518,0.03331506,1
257,-12.542894,13.014758,0.031322073,1
